date,value
2010-01-01,110.0
2010-02-01,90.8
2010-03-01,111.6
2010-04-01,92.4
2010-05-01,113.2
2010-06-01,94.0
2010-07-01,114.8
2010-08-01,95.6
2010-09-01,116.4
2010-10-01,97.2
2010-11-01,118.0
2010-12-01,98.8
2011-01-01,119.6
2011-02-01,100.4
2011-03-01,121.2
2011-04-01,102.0
2011-05-01,122.8
2011-06-01,103.6
2011-07-01,124.4
2011-08-01,105.2
2011-09-01,126.0
2011-10-01,106.8
2011-11-01,127.6
2011-12-01,108.4
2012-01-01,129.2
2012-02-01,110.0
2012-03-01,130.8
2012-04-01,111.6
2012-05-01,132.4
2012-06-01,113.2
2012-07-01,134.0
2012-08-01,114.8
2012-09-01,135.6
2012-10-01,116.4
2012-11-01,137.2
2012-12-01,118.0
2013-01-01,138.8
2013-02-01,119.6
2013-03-01,140.4
2013-04-01,121.19999999999999
2013-05-01,142.0
2013-06-01,122.80000000000001
2013-07-01,143.6
2013-08-01,124.4
2013-09-01,145.2
2013-10-01,126.0
2013-11-01,146.8
2013-12-01,127.6
2014-01-01,148.4
2014-02-01,129.2
2014-03-01,150.0
2014-04-01,130.8
2014-05-01,151.6
2014-06-01,132.4
2014-07-01,153.2
2014-08-01,134.0
2014-09-01,154.8
2014-10-01,135.6
2014-11-01,156.4
2014-12-01,137.2
2015-01-01,158.0
2015-02-01,138.8
2015-03-01,159.6
2015-04-01,140.4
2015-05-01,161.2
2015-06-01,142.0
2015-07-01,162.8
2015-08-01,143.6
2015-09-01,164.4
2015-10-01,145.2
2015-11-01,166.0
2015-12-01,146.8
2016-01-01,167.6
2016-02-01,148.4
2016-03-01,169.2
2016-04-01,150.0
2016-05-01,170.8
2016-06-01,151.6
2016-07-01,172.4
2016-08-01,153.2
2016-09-01,174.0
2016-10-01,154.8
2016-11-01,175.60000000000002
2016-12-01,156.4
2017-01-01,177.2
2017-02-01,158.0
2017-03-01,178.8
2017-04-01,159.60000000000002
2017-05-01,180.4
2017-06-01,161.2
2017-07-01,182.0
2017-08-01,162.8
2017-09-01,183.60000000000002
2017-10-01,164.4
2017-11-01,185.2
2017-12-01,166.0
2018-01-01,186.8
2018-02-01,167.60000000000002
2018-03-01,188.4
2018-04-01,169.2
2018-05-01,190.0
2018-06-01,170.8
2018-07-01,191.60000000000002
2018-08-01,172.4
2018-09-01,193.2
2018-10-01,174.0
2018-11-01,194.8
2018-12-01,175.60000000000002
2019-01-01,196.4
2019-02-01,177.2
2019-03-01,198.0
2019-04-01,178.8
2019-05-01,199.60000000000002
2019-06-01,180.4
2019-07-01,201.2
2019-08-01,182.0
2019-09-01,202.8
2019-10-01,183.60000000000002
2019-11-01,204.4
2019-12-01,185.2
2020-01-01,206.0
2020-02-01,186.8
2020-03-01,207.60000000000002
2020-04-01,188.4
2020-05-01,209.2
2020-06-01,190.0
2020-07-01,210.8
2020-08-01,191.60000000000002
2020-09-01,212.4
2020-10-01,193.2
2020-11-01,214.0
2020-12-01,194.8
