Date,Births,Marriages,Deaths
1837-09-01,76117,50830,76155
1837-12-01,90151,69853,79335
1838-03-01,115293,47252,100688
1838-06-01,123275,61088,98090
1838-09-01,116838,56412,74604
1838-12-01,114564,75644,84417
1839-03-01,125609,50160,91733
1839-06-01,132094,63995,89555
1839-09-01,122740,60074,77313
1839-12-01,122877,75691,87099
1840-03-01,136860,53483,101289
1840-06-01,131219,62873,93736
1840-09-01,121738,59197,85387
1840-12-01,122187,73688,91984
1841-03-01,136595,49650,99798
1841-06-01,136667,65347,87514
1841-09-01,129446,59440,78692
1841-12-01,129545,73454,85897
1842-03-01,142898,52307,96630
1842-06-01,141833,61267,87252
1842-09-01,128871,55634,83031
1842-12-01,130113,72578,84757
1843-03-01,142719,52035,95817
1843-06-01,136826,64295,88384
1843-09-01,133310,59856,77587
1843-12-01,138526,79541,88328
1844-03-01,154447,54061,101897
1844-06-01,144252,69732,86209
1844-09-01,134533,64757,80186
1844-12-01,138595,81673,91661
1845-03-01,157643,60957,105426
1845-06-01,139309,73603,89923
1845-09-01,138588,72147,75471
1845-12-01,136013,90962,81119
1846-03-01,154651,65589,90185
1846-06-01,161675,75707,90783
1846-09-01,142651,72204,102282
1846-12-01,144973,86765,109513
1847-03-01,151538,56563,120325
1847-06-01,148239,72353,107263
1847-09-01,129298,66440,93978
1847-12-01,130103,83720,104001
1848-03-01,141267,58543,120660
1848-06-01,151530,71167,100411
1848-09-01,142040,67894,88012
1848-12-01,134558,86746,92834
1849-03-01,155574,58576,106351
1849-06-01,155923,73853,102584
1849-09-01,142392,69713,135878
1849-12-01,136393,90567,98016
1850-03-01,149843,63198,99025
1850-06-01,163772,80200,93411
1850-09-01,151142,78580,86334
1850-12-01,148568,95812,92244
1851-03-01,158905,67718,106287
1851-06-01,161480,78833,101061
1851-09-01,152423,76068,102263
1851-12-01,150448,92748,101159
1852-03-01,168597,68225,120780
1852-06-01,168808,88806,104330
1852-09-01,156658,80191,104544
1852-12-01,158859,97012,105139
1853-03-01,166542,71899,119320
1853-06-01,160376,82495,109765
1853-09-01,148364,82021,93488
1853-12-01,145296,100669,105928
1854-03-01,162126,67689,112783
1854-06-01,175103,82729,103234
1854-09-01,156639,78404,114671
1854-12-01,148349,97805,110543
1855-03-01,167885,60021,136863
1855-06-01,167009,79666,108631
1855-09-01,155974,77096,89506
1855-12-01,150444,97293,99519
1856-03-01,171311,69140,105062
1856-06-01,185994,80575,102803
1856-09-01,161764,81344,94873
1856-12-01,159314,99812,99203
1857-03-01,172291,69462,110542
1857-06-01,172819,85789,101371
1857-09-01,163464,81158,102417
1857-12-01,162524,96298,113218
1858-03-01,173241,62306,128299
