,State,Station,Year,Ridership
10447,Maryland,"Aberdeen, Maryland",2005-01-01,23438.0
9847,Maryland,"Aberdeen, Maryland",2006-01-01,18008.0
9247,Maryland,"Aberdeen, Maryland",2007-01-01,38702.0
8647,Maryland,"Aberdeen, Maryland",2008-01-01,45052.0
8047,Maryland,"Aberdeen, Maryland",2009-01-01,44495.0
7447,Maryland,"Aberdeen, Maryland",2010-01-01,41114.0
6847,Maryland,"Aberdeen, Maryland",2011-01-01,39878.0
6247,Maryland,"Aberdeen, Maryland",2012-01-01,43987.0
5647,Maryland,"Aberdeen, Maryland",2013-01-01,43968.0
5047,Maryland,"Aberdeen, Maryland",2014-01-01,42345.0
4447,Maryland,"Aberdeen, Maryland",2015-01-01,53883.0
3847,Maryland,"Aberdeen, Maryland",2016-01-01,59225.0
3247,Maryland,"Aberdeen, Maryland",2017-01-01,55387.0
2647,Maryland,"Aberdeen, Maryland",2018-01-01,56285.0
2047,Maryland,"Aberdeen, Maryland",2019-01-01,35483.0
1447,Maryland,"Aberdeen, Maryland",2020-01-01,16891.0
847,Maryland,"Aberdeen, Maryland",2021-01-01,13841.0
247,Maryland,"Aberdeen, Maryland",2022-01-01,32935.0
10628,Ohio,"Akron, Ohio",2005-01-01,1333.0
10645,Oregon,"Albany, Oregon",2005-01-01,12469.0
10045,Oregon,"Albany, Oregon",2006-01-01,13084.0
9445,Oregon,"Albany, Oregon",2007-01-01,30756.0
8845,Oregon,"Albany, Oregon",2008-01-01,31870.0
8245,Oregon,"Albany, Oregon",2009-01-01,35735.0
7645,Oregon,"Albany, Oregon",2010-01-01,38359.0
7045,Oregon,"Albany, Oregon",2011-01-01,38693.0
6445,Oregon,"Albany, Oregon",2012-01-01,39682.0
5845,Oregon,"Albany, Oregon",2013-01-01,40208.0
5245,Oregon,"Albany, Oregon",2014-01-01,35100.0
4645,Oregon,"Albany, Oregon",2015-01-01,32503.0
4045,Oregon,"Albany, Oregon",2016-01-01,33656.0
3445,Oregon,"Albany, Oregon",2017-01-01,33933.0
2845,Oregon,"Albany, Oregon",2018-01-01,30782.0
2245,Oregon,"Albany, Oregon",2019-01-01,32856.0
1645,Oregon,"Albany, Oregon",2020-01-01,19082.0
1045,Oregon,"Albany, Oregon",2021-01-01,13918.0
445,Oregon,"Albany, Oregon",2022-01-01,26256.0
10573,New York,"Albany-Rensselaer, New York",2005-01-01,366946.0
9973,New York,"Albany-Rensselaer, New York",2006-01-01,382263.0
9373,New York,"Albany-Rensselaer, New York",2007-01-01,774458.0
8773,New York,"Albany-Rensselaer, New York",2008-01-01,830740.0
8173,New York,"Albany-Rensselaer, New York",2009-01-01,723913.0
7573,New York,"Albany-Rensselaer, New York",2010-01-01,737259.0
6973,New York,"Albany-Rensselaer, New York",2011-01-01,769626.0
6373,New York,"Albany-Rensselaer, New York",2012-01-01,769413.0
5773,New York,"Albany-Rensselaer, New York",2013-01-01,764898.0
5173,New York,"Albany-Rensselaer, New York",2014-01-01,781597.0
4573,New York,"Albany-Rensselaer, New York",2015-01-01,825353.0
3973,New York,"Albany-Rensselaer, New York",2016-01-01,855176.0
3373,New York,"Albany-Rensselaer, New York",2017-01-01,803348.0
2773,New York,"Albany-Rensselaer, New York",2018-01-01,800368.0
2173,New York,"Albany-Rensselaer, New York",2019-01-01,806960.0
1573,New York,"Albany-Rensselaer, New York",2020-01-01,450965.0
973,New York,"Albany-Rensselaer, New York",2021-01-01,379209.0
373,New York,"Albany-Rensselaer, New York",2022-01-01,640353.0
9802,Indiana,"Albany/Rensselaer, Indiana",2006-01-01,533.0
9202,Indiana,"Albany/Rensselaer, Indiana",2007-01-01,1630.0
8602,Indiana,"Albany/Rensselaer, Indiana",2008-01-01,1830.0
8002,Indiana,"Albany/Rensselaer, Indiana",2009-01-01,1820.0
7402,Indiana,"Albany/Rensselaer, Indiana",2010-01-01,1848.0
6802,Indiana,"Albany/Rensselaer, Indiana",2011-01-01,2042.0
6202,Indiana,"Albany/Rensselaer, Indiana",2012-01-01,2342.0
