State,Station,Year,Ridership
Maryland,"Aberdeen, Maryland",2005-01-01,23438.0
Maryland,"Aberdeen, Maryland",2006-01-01,18008.0
Maryland,"Aberdeen, Maryland",2007-01-01,38702.0
Maryland,"Aberdeen, Maryland",2008-01-01,45052.0
Maryland,"Aberdeen, Maryland",2009-01-01,44495.0
Maryland,"Aberdeen, Maryland",2010-01-01,41114.0
Maryland,"Aberdeen, Maryland",2011-01-01,39878.0
Maryland,"Aberdeen, Maryland",2012-01-01,43987.0
Maryland,"Aberdeen, Maryland",2013-01-01,43968.0
Maryland,"Aberdeen, Maryland",2014-01-01,42345.0
Maryland,"Aberdeen, Maryland",2015-01-01,53883.0
Maryland,"Aberdeen, Maryland",2016-01-01,59225.0
Maryland,"Aberdeen, Maryland",2017-01-01,55387.0
Maryland,"Aberdeen, Maryland",2018-01-01,56285.0
Maryland,"Aberdeen, Maryland",2019-01-01,35483.0
Maryland,"Aberdeen, Maryland",2020-01-01,16891.0
Maryland,"Aberdeen, Maryland",2021-01-01,13841.0
Maryland,"Aberdeen, Maryland",2022-01-01,32935.0
Ohio,"Akron, Ohio",2005-01-01,1333.0
Oregon,"Albany, Oregon",2005-01-01,12469.0
Oregon,"Albany, Oregon",2006-01-01,13084.0
Oregon,"Albany, Oregon",2007-01-01,30756.0
Oregon,"Albany, Oregon",2008-01-01,31870.0
Oregon,"Albany, Oregon",2009-01-01,35735.0
Oregon,"Albany, Oregon",2010-01-01,38359.0
Oregon,"Albany, Oregon",2011-01-01,38693.0
Oregon,"Albany, Oregon",2012-01-01,39682.0
Oregon,"Albany, Oregon",2013-01-01,40208.0
Oregon,"Albany, Oregon",2014-01-01,35100.0
Oregon,"Albany, Oregon",2015-01-01,32503.0
Oregon,"Albany, Oregon",2016-01-01,33656.0
Oregon,"Albany, Oregon",2017-01-01,33933.0
Oregon,"Albany, Oregon",2018-01-01,30782.0
Oregon,"Albany, Oregon",2019-01-01,32856.0
Oregon,"Albany, Oregon",2020-01-01,19082.0
Oregon,"Albany, Oregon",2021-01-01,13918.0
Oregon,"Albany, Oregon",2022-01-01,26256.0
New York,"Albany-Rensselaer, New York",2005-01-01,366946.0
New York,"Albany-Rensselaer, New York",2006-01-01,382263.0
New York,"Albany-Rensselaer, New York",2007-01-01,774458.0
New York,"Albany-Rensselaer, New York",2008-01-01,830740.0
New York,"Albany-Rensselaer, New York",2009-01-01,723913.0
New York,"Albany-Rensselaer, New York",2010-01-01,737259.0
New York,"Albany-Rensselaer, New York",2011-01-01,769626.0
New York,"Albany-Rensselaer, New York",2012-01-01,769413.0
New York,"Albany-Rensselaer, New York",2013-01-01,764898.0
New York,"Albany-Rensselaer, New York",2014-01-01,781597.0
New York,"Albany-Rensselaer, New York",2015-01-01,825353.0
New York,"Albany-Rensselaer, New York",2016-01-01,855176.0
New York,"Albany-Rensselaer, New York",2017-01-01,803348.0
New York,"Albany-Rensselaer, New York",2018-01-01,800368.0
New York,"Albany-Rensselaer, New York",2019-01-01,806960.0
New York,"Albany-Rensselaer, New York",2020-01-01,450965.0
New York,"Albany-Rensselaer, New York",2021-01-01,379209.0
New York,"Albany-Rensselaer, New York",2022-01-01,640353.0
Indiana,"Albany/Rensselaer, Indiana",2006-01-01,533.0
Indiana,"Albany/Rensselaer, Indiana",2007-01-01,1630.0
Indiana,"Albany/Rensselaer, Indiana",2008-01-01,1830.0
Indiana,"Albany/Rensselaer, Indiana",2009-01-01,1820.0
Indiana,"Albany/Rensselaer, Indiana",2010-01-01,1848.0
Indiana,"Albany/Rensselaer, Indiana",2011-01-01,2042.0
Indiana,"Albany/Rensselaer, Indiana",2012-01-01,2342.0
