date,value,weather_temp_mean,weather_precip_sum,weather_wind_mean,holiday_count,is_weekend,weather_temp_mean_lag1,weather_temp_mean_lag7,weather_precip_sum_lag1,weather_precip_sum_lag7,weather_wind_mean_lag1,weather_wind_mean_lag7,holiday_count_lag1,holiday_count_lag7,is_weekend_lag1,is_weekend_lag7
2022-09-14,686.0664771504131,22.1,0.0,10.6,0,0,,,,,,,,,,
2022-09-15,567.7753246721894,21.7,0.0,8.8,0,0,22.1,,0.0,,10.6,,0.0,,0.0,
2022-09-16,563.2801133266474,22.0,0.4,10.0,0,0,21.7,,0.0,,8.8,,0.0,,0.0,
2022-09-17,554.7776115619412,21.9,0.0,8.8,0,1,22.0,,0.4,,10.0,,0.0,,0.0,
2022-09-18,556.1701558935339,21.9,0.1,7.0,0,1,21.9,,0.0,,8.8,,0.0,,1.0,
2022-09-19,568.3866455391699,22.3,0.0,8.9,0,0,21.9,,0.1,,7.0,,0.0,,1.0,
2022-09-20,572.8829379311494,23.0,0.1,7.9,0,0,22.3,,0.0,,8.9,,0.0,,0.0,
2022-09-21,576.7051757348388,22.7,1.6,9.0,0,0,23.0,22.1,0.1,0.0,7.9,10.6,0.0,0.0,0.0,0.0
2022-09-22,579.3209108569142,22.5,0.5,9.5,0,0,22.7,21.7,1.6,0.0,9.0,8.8,0.0,0.0,0.0,0.0
2022-09-23,558.9011637104039,22.4,0.0,7.9,0,0,22.5,22.0,0.5,0.4,9.5,10.0,0.0,0.0,0.0,0.0
2022-09-24,553.5826291832414,22.9,0.0,7.4,0,1,22.4,21.9,0.0,0.0,7.9,8.8,0.0,0.0,0.0,1.0
2022-09-25,557.7538645462372,21.5,0.2,11.2,0,1,22.9,21.9,0.0,0.1,7.4,7.0,0.0,0.0,1.0,1.0
2022-09-26,496.78430971119946,20.9,0.4,8.7,0,0,21.5,22.3,0.2,0.0,11.2,8.9,0.0,0.0,1.0,0.0
2022-09-27,553.7919967685731,20.0,0.0,9.4,0,0,20.9,23.0,0.4,0.1,8.7,7.9,0.0,0.0,0.0,0.0
2022-09-28,553.4097745082365,20.4,0.0,9.0,0,0,20.0,22.7,0.0,1.6,9.4,9.0,0.0,0.0,0.0,0.0
2022-09-29,559.1112946440649,20.8,0.4,10.0,0,0,20.4,22.5,0.0,0.5,9.0,9.5,0.0,0.0,0.0,0.0
2022-09-30,540.7433614305487,19.9,3.1,12.4,0,0,20.8,22.4,0.4,0.0,10.0,7.9,0.0,0.0,0.0,0.0
2022-10-01,546.6877991130848,20.1,0.0,13.9,0,1,19.9,22.9,3.1,0.0,12.4,7.4,0.0,0.0,0.0,1.0
2022-10-02,554.8398983752921,22.7,0.0,7.6,0,1,20.1,21.5,0.0,0.2,13.9,11.2,0.0,0.0,1.0,1.0
2022-10-03,552.1844366913291,22.5,0.0,7.7,0,0,22.7,20.9,0.0,0.4,7.6,8.7,0.0,0.0,1.0,0.0
2022-10-04,567.031397608459,21.5,0.0,9.2,0,0,22.5,20.0,0.0,0.0,7.7,9.4,0.0,0.0,0.0,0.0
2022-10-05,547.725879464166,20.9,0.0,6.9,0,0,21.5,20.4,0.0,0.0,9.2,9.0,0.0,0.0,0.0,0.0
2022-10-06,516.3670932373188,21.5,0.0,7.4,0,0,20.9,20.8,0.0,0.4,6.9,10.0,0.0,0.0,0.0,0.0
2022-10-07,553.4916528901807,21.2,0.0,7.1,0,0,21.5,19.9,0.0,3.1,7.4,12.4,0.0,0.0,0.0,0.0
2022-10-08,550.0488167546027,21.5,0.0,7.4,1,1,21.2,20.1,0.0,0.0,7.1,13.9,0.0,0.0,0.0,1.0
2022-10-09,513.6618756638261,21.3,0.2,8.5,1,1,21.5,22.7,0.0,0.0,7.4,7.6,1.0,0.0,1.0,1.0
2022-10-10,536.0010399248885,20.6,0.0,6.8,0,0,21.3,22.5,0.2,0.0,8.5,7.7,1.0,0.0,1.0,0.0
2022-10-11,510.18524992507486,19.6,2.6,8.3,0,0,20.6,21.5,0.0,0.0,6.8,9.2,0.0,0.0,0.0,0.0
2022-10-12,535.4131163935631,19.0,3.0,6.7,0,0,19.6,20.9,2.6,0.0,8.3,6.9,0.0,0.0,0.0,0.0
2022-10-13,557.7973689728539,20.0,0.3,10.1,0,0,19.0,21.5,3.0,0.0,6.7,7.4,0.0,0.0,0.0,0.0
2022-10-14,549.0946746170468,20.4,0.0,6.0,0,0,20.0,21.2,0.3,0.0,10.1,7.1,0.0,0.0,0.0,0.0
2022-10-15,571.1595579006821,20.4,0.0,6.3,0,1,20.4,21.5,0.0,0.0,6.0,7.4,0.0,1.0,0.0,1.0
2022-10-16,550.8623654893066,22.9,0.1,9.5,0,1,20.4,21.3,0.0,0.2,6.3,8.5,0.0,1.0,1.0,1.0
2022-10-17,555.8079235480695,23.6,0.0,8.6,0,0,22.9,20.6,0.1,0.0,9.5,6.8,0.0,0.0,1.0,0.0
2022-10-18,567.4115008054398,22.4,0.0,6.1,0,0,23.6,19.6,0.0,2.6,8.6,8.3,0.0,0.0,0.0,0.0
2022-10-19,528.3500428312477,21.2,0.0,8.5,0,0,22.4,19.0,0.0,3.0,6.1,6.7,0.0,0.0,0.0,0.0
2022-10-20,553.6603150763225,20.3,0.0,7.5,0,0,21.2,20.0,0.0,0.3,8.5,10.1,0.0,0.0,0.0,0.0
2022-10-21,558.0553531185286,19.6,0.0,6.3,0,0,20.3,20.4,0.0,0.0,7.5,6.0,0.0,0.0,0.0,0.0
2022-10-22,566.6828371910761,21.3,0.0,10.0,0,1,19.6,20.4,0.0,0.0,6.3,6.3,0.0,0.0,0.0,1.0
2022-10-23,501.410140008156,20.1,0.0,7.0,0,1,21.3,22.9,0.0,0.1,10.0,9.5,0.0,0.0,1.0,1.0
2022-10-24,553.2607233799014,21.0,0.0,6.9,0,0,20.1,23.6,0.0,0.0,7.0,8.6,0.0,0.0,1.0,0.0
2022-10-25,561.7264324093082,22.0,0.0,7.6,0,0,21.0,22.4,0.0,0.0,6.9,6.1,0.0,0.0,0.0,0.0
2022-10-26,562.893902424914,24.9,0.0,8.8,0,0,22.0,21.2,0.0,0.0,7.6,8.5,0.0,0.0,0.0,0.0
2022-10-27,558.0340399127211,24.2,0.0,8.1,0,0,24.9,20.3,0.0,0.0,8.8,7.5,0.0,0.0,0.0,0.0
2022-10-28,564.4796375504004,23.1,0.0,8.1,0,0,24.2,19.6,0.0,0.0,8.1,6.3,0.0,0.0,0.0,0.0
2022-10-29,542.5046344693961,23.5,0.0,7.5,0,1,23.1,21.3,0.0,0.0,8.1,10.0,0.0,0.0,0.0,1.0
2022-10-30,555.3274262761458,22.2,0.0,8.1,0,1,23.5,20.1,0.0,0.0,7.5,7.0,0.0,0.0,1.0,1.0
2022-10-31,558.1528758590835,21.9,0.0,9.9,0,0,22.2,21.0,0.0,0.0,8.1,6.9,0.0,0.0,1.0,0.0
2022-11-01,579.1861631188408,20.4,0.0,5.7,0,0,21.9,22.0,0.0,0.0,9.9,7.6,0.0,0.0,0.0,0.0
2022-11-02,566.7986015230222,19.7,0.0,8.6,0,0,20.4,24.9,0.0,0.0,5.7,8.8,0.0,0.0,0.0,0.0
2022-11-03,557.6882215767475,18.5,0.2,8.0,0,0,19.7,24.2,0.0,0.0,8.6,8.1,0.0,0.0,0.0,0.0
2022-11-04,558.3117491281423,18.5,0.0,9.8,0,0,18.5,23.1,0.2,0.0,8.0,8.1,0.0,0.0,0.0,0.0
2022-11-05,509.5541552166303,19.2,0.0,11.3,0,1,18.5,23.5,0.0,0.0,9.8,7.5,0.0,0.0,0.0,1.0
2022-11-06,551.6677467455199,19.4,0.0,8.1,1,1,19.2,22.2,0.0,0.0,11.3,8.1,0.0,0.0,1.0,1.0
2022-11-07,566.1193938876601,18.0,0.0,5.4,0,0,19.4,21.9,0.0,0.0,8.1,9.9,1.0,0.0,1.0,0.0
2022-11-08,565.3353261748385,17.0,0.0,5.4,0,0,18.0,20.4,0.0,0.0,5.4,5.7,0.0,0.0,0.0,0.0
2022-11-09,560.2176945878577,17.7,0.0,6.1,0,0,17.0,19.7,0.0,0.0,5.4,8.6,0.0,0.0,0.0,0.0
2022-11-10,556.79969627552,18.3,0.0,11.0,0,0,17.7,18.5,0.0,0.2,6.1,8.0,0.0,0.0,0.0,0.0
2022-11-11,550.8871899172296,17.5,0.0,6.2,0,0,18.3,18.5,0.0,0.0,11.0,9.8,0.0,0.0,0.0,0.0
2022-11-12,554.6799567616749,17.9,0.0,7.1,0,1,17.5,19.2,0.0,0.0,6.2,11.3,0.0,0.0,0.0,1.0
2022-11-13,553.5529816845587,20.2,0.0,9.1,0,1,17.9,19.4,0.0,0.0,7.1,8.1,0.0,1.0,1.0,1.0
2022-11-14,566.3606016692847,20.9,0.0,9.6,0,0,20.2,18.0,0.0,0.0,9.1,5.4,0.0,0.0,1.0,0.0
2022-11-15,565.1915628471256,18.9,0.0,7.6,0,0,20.9,17.0,0.0,0.0,9.6,5.4,0.0,0.0,0.0,0.0
2022-11-16,567.1699435924924,19.0,0.0,12.0,0,0,18.9,17.7,0.0,0.0,7.6,6.1,0.0,0.0,0.0,0.0
2022-11-17,548.7447388996061,19.1,0.9,11.7,0,0,19.0,18.3,0.0,0.0,12.0,11.0,0.0,0.0,0.0,0.0
2022-11-18,550.4532912583777,17.4,11.9,13.8,1,0,19.1,17.5,0.9,0.0,11.7,6.2,0.0,0.0,0.0,0.0
2022-11-19,563.452432978739,15.5,0.1,10.1,0,1,17.4,17.9,11.9,0.0,13.8,7.1,1.0,0.0,0.0,1.0
2022-11-20,554.4540719380549,15.7,0.0,12.3,0,1,15.5,20.2,0.1,0.0,10.1,9.1,0.0,0.0,1.0,1.0
2022-11-21,556.0980066223556,15.9,0.0,7.5,0,0,15.7,20.9,0.0,0.0,12.3,9.6,0.0,0.0,1.0,0.0
2022-11-22,563.4090023157198,17.5,0.0,8.3,0,0,15.9,18.9,0.0,0.0,7.5,7.6,0.0,0.0,0.0,0.0
2022-11-23,570.3696800720558,17.0,0.0,6.8,0,0,17.5,19.0,0.0,0.0,8.3,12.0,0.0,0.0,0.0,0.0
2022-11-24,555.7179646146124,16.9,0.0,6.3,0,0,17.0,19.1,0.0,0.9,6.8,11.7,0.0,0.0,0.0,0.0
2022-11-25,549.5133193325065,17.3,0.0,11.4,0,0,16.9,17.4,0.0,11.9,6.3,13.8,0.0,1.0,0.0,0.0
2022-11-26,565.8417231418703,16.2,0.0,8.0,0,1,17.3,15.5,0.0,0.1,11.4,10.1,0.0,0.0,0.0,1.0
2022-11-27,568.8615224211949,16.3,0.0,8.4,0,1,16.2,15.7,0.0,0.0,8.0,12.3,0.0,0.0,1.0,1.0
2022-11-28,581.9069372257192,16.4,0.1,13.4,0,0,16.3,15.9,0.0,0.0,8.4,7.5,0.0,0.0,1.0,0.0
2022-11-29,550.6479018121574,13.6,0.0,10.6,0,0,16.4,17.5,0.1,0.0,13.4,8.3,0.0,0.0,0.0,0.0
2022-11-30,574.4301490335126,13.1,0.0,5.9,0,0,13.6,17.0,0.0,0.0,10.6,6.8,0.0,0.0,0.0,0.0
2022-12-01,552.9886768822003,14.2,21.9,15.4,0,0,13.1,16.9,0.0,0.0,5.9,6.3,0.0,0.0,0.0,0.0
2022-12-02,562.4353637750057,15.0,3.9,7.9,0,0,14.2,17.3,21.9,0.0,15.4,11.4,0.0,0.0,0.0,0.0
2022-12-03,562.7178273153175,15.0,0.5,12.1,0,1,15.0,16.2,3.9,0.0,7.9,8.0,0.0,0.0,0.0,1.0
2022-12-04,549.1828567385126,17.3,1.0,10.5,0,1,15.0,16.3,0.5,0.0,12.1,8.4,0.0,0.0,1.0,1.0
2022-12-05,552.7752486378848,16.3,4.0,19.9,0,0,17.3,16.4,1.0,0.1,10.5,13.4,0.0,0.0,1.0,0.0
2022-12-06,561.1768569342952,16.1,0.8,9.3,0,0,16.3,13.6,4.0,0.0,19.9,10.6,0.0,0.0,0.0,0.0
2022-12-07,553.1268039666871,17.4,0.2,10.8,0,0,16.1,13.1,0.8,0.0,9.3,5.9,0.0,0.0,0.0,0.0
2022-12-08,568.1546193895665,18.5,2.8,20.6,0,0,17.4,14.2,0.2,21.9,10.8,15.4,0.0,0.0,0.0,0.0
