date,value,weather_temp_mean,weather_precip_sum,weather_wind_mean,holiday_count,is_weekend,weather_temp_mean_lag1,weather_temp_mean_lag7,weather_precip_sum_lag1,weather_precip_sum_lag7,weather_wind_mean_lag1,weather_wind_mean_lag7,holiday_count_lag1,holiday_count_lag7,is_weekend_lag1,is_weekend_lag7
2022-09-14,98.54100370386747,22.1,0.0,10.6,0,0,,,,,,,,,,
2022-09-15,81.06572586242379,21.7,0.0,8.8,0,0,22.1,,0.0,,10.6,,0.0,,0.0,
2022-09-16,82.37826049176054,22.0,0.4,10.0,0,0,21.7,,0.0,,8.8,,0.0,,0.0,
2022-09-17,70.46119536085665,21.9,0.0,8.8,0,1,22.0,,0.4,,10.0,,0.0,,0.0,
2022-09-18,74.16938575895345,21.9,0.1,7.0,0,1,21.9,,0.0,,8.8,,0.0,,1.0,
2022-09-19,74.73514968987149,22.3,0.0,8.9,0,0,21.9,,0.1,,7.0,,0.0,,1.0,
2022-09-20,85.21967190303018,23.0,0.1,7.9,0,0,22.3,,0.0,,8.9,,0.0,,0.0,
2022-09-21,78.3293700441226,22.7,1.6,9.0,0,0,23.0,22.1,0.1,0.0,7.9,10.6,0.0,0.0,0.0,0.0
2022-09-22,87.63659875851043,22.5,0.5,9.5,0,0,22.7,21.7,1.6,0.0,9.0,8.8,0.0,0.0,0.0,0.0
2022-09-23,73.03627201962124,22.4,0.0,7.9,0,0,22.5,22.0,0.5,0.4,9.5,10.0,0.0,0.0,0.0,0.0
2022-09-24,64.38281321515203,22.9,0.0,7.4,0,1,22.4,21.9,0.0,0.0,7.9,8.8,0.0,0.0,0.0,1.0
2022-09-25,65.68280751042442,21.5,0.2,11.2,0,1,22.9,21.9,0.0,0.1,7.4,7.0,0.0,0.0,1.0,1.0
2022-09-26,50.16943844229814,20.9,0.4,8.7,0,0,21.5,22.3,0.2,0.0,11.2,8.9,0.0,0.0,1.0,0.0
2022-09-27,64.95211746623892,20.0,0.0,9.4,0,0,20.9,23.0,0.4,0.1,8.7,7.9,0.0,0.0,0.0,0.0
2022-09-28,69.81423312398086,20.4,0.0,9.0,0,0,20.0,22.7,0.0,1.6,9.4,9.0,0.0,0.0,0.0,0.0
2022-09-29,66.10012198138728,20.8,0.4,10.0,0,0,20.4,22.5,0.0,0.5,9.0,9.5,0.0,0.0,0.0,0.0
