,Year,Value
0,1961,6639.0
1,1962,6639.0
2,1963,6639.0
3,1964,7686.3
4,1965,8081.9
5,1966,8161.9
6,1967,8867.1
7,1968,9166.7
8,1969,9104.7
9,1970,8763.2
10,1971,6892.9
11,1972,8296.6
12,1973,8460.4
13,1974,8373.4
14,1975,8404.0
15,1976,7867.2
16,1977,4662.0
17,1978,6851.1
18,1979,6754.8
19,1980,6964.8
20,1981,7050.9
21,1982,7082.7
22,1983,7179.9
23,1984,7179.1
24,1985,7078.3
25,1986,7361.9
26,1987,7308.5
27,1988,7108.9
28,1989,7134.4
29,1990,
30,1991,7527.8
31,1992,7413.1
32,1993,
33,1994,7357.6
34,1995,
35,1996,7393.4
36,1997,
37,1998,7446.5
38,1999,7458.9
39,2000,7445.1
40,2001,7307.7
41,2002,7296.0
42,2003,7177.3
43,2004,7084.6
44,2005,6870.5
45,2006,6226.7
46,2007,7250.0
47,2008,7444.8
48,2009,7343.9
49,2010,8000.0
50,2011,8172.5
51,2012,10000.0
52,2013,9994.4
53,2014,
54,2015,9618.9
55,2016,2081.9
56,2017,7296.0
57,2018,5893.4
58,2019,7300.8
59,2020,7538.9
60,2021,7661.5
61,2022,6378.7
62,2023,7062.4
