date,value
2020-01-01,100.0
2020-01-02,99.5
2020-01-03,100.2
2020-01-04,101.1
2020-01-05,100.8
2020-01-06,101.5
2020-01-07,102.3
2020-01-08,101.9
2020-01-09,102.6
2020-01-10,103.2
2020-01-11,103.8
2020-01-12,104.1
2020-01-13,103.5
2020-01-14,104.3
2020-01-15,105.0
2020-01-16,104.7
2020-01-17,105.4
2020-01-18,106.1
2020-01-19,105.8
2020-01-20,106.5
2020-01-21,107.2
2020-01-22,106.9
2020-01-23,107.6
2020-01-24,108.3
2020-01-25,108.0
2020-01-26,108.7
2020-01-27,109.4
2020-01-28,109.1
2020-01-29,109.8
2020-01-30,110.5
2020-01-31,110.2
2020-02-01,110.9
2020-02-02,111.6
2020-02-03,111.3
2020-02-04,112.0
2020-02-05,112.7
2020-02-06,112.4
2020-02-07,113.1
2020-02-08,113.8
2020-02-09,113.5
2020-02-10,114.2
2020-02-11,114.9
2020-02-12,114.6
2020-02-13,115.3
2020-02-14,116.0
2020-02-15,115.7
2020-02-16,116.4
2020-02-17,117.1
2020-02-18,116.8
2020-02-19,117.5
2020-02-20,118.2
2020-02-21,117.9
2020-02-22,118.6
2020-02-23,119.3
2020-02-24,119.0
2020-02-25,119.7
2020-02-26,120.4
2020-02-27,120.1
2020-02-28,120.8
2020-02-29,121.5
2020-03-01,121.2
2020-03-02,121.9
2020-03-03,122.6
2020-03-04,122.3
2020-03-05,123.0
2020-03-06,123.7
2020-03-07,123.4
2020-03-08,124.1
2020-03-09,124.8
2020-03-10,124.5
2020-03-11,125.2
2020-03-12,125.9
2020-03-13,125.6
2020-03-14,126.3
2020-03-15,127.0
2020-03-16,126.7
2020-03-17,127.4
2020-03-18,128.1
2020-03-19,127.8
2020-03-20,128.5
2020-03-21,129.2
2020-03-22,128.9
2020-03-23,129.6
2020-03-24,130.3
2020-03-25,130.0
2020-03-26,130.7
2020-03-27,131.4
2020-03-28,131.1
2020-03-29,131.8
2020-03-30,132.5
2020-03-31,132.2
2020-04-01,132.9
2020-04-02,133.6
2020-04-03,133.3
2020-04-04,134.0
2020-04-05,134.7
2020-04-06,134.4
2020-04-07,135.1
2020-04-08,135.8
2020-04-09,135.5
2020-04-10,136.2
2020-04-11,136.9
2020-04-12,136.6
2020-04-13,137.3
2020-04-14,138.0
2020-04-15,137.7
2020-04-16,138.4
2020-04-17,139.1
2020-04-18,138.8
2020-04-19,139.5
2020-04-20,140.2
2020-04-21,139.9
2020-04-22,140.6
2020-04-23,141.3
2020-04-24,141.0
2020-04-25,141.7
2020-04-26,142.4
2020-04-27,142.1
2020-04-28,142.8
2020-04-29,143.5
2020-04-30,143.2

