date,target,predictor
2020-01-01,100.0,100.0
2020-01-02,99.5,100.2
2020-01-03,100.2,100.5
2020-01-04,101.1,100.8
2020-01-05,100.8,101.2
2020-01-06,101.5,101.5
2020-01-07,102.3,101.8
2020-01-08,101.9,102.1
2020-01-09,102.6,102.4
2020-01-10,103.2,102.7
2020-01-11,103.8,103.0
2020-01-12,104.1,103.3
2020-01-13,104.5,103.6
2020-01-14,105.0,103.9
2020-01-15,105.3,104.2
2020-01-16,105.7,104.5
2020-01-17,106.1,104.8
2020-01-18,106.4,105.1
2020-01-19,106.8,105.4
2020-01-20,107.2,105.7
2020-01-21,107.5,106.0
2020-01-22,107.9,106.3
2020-01-23,108.2,106.6
2020-01-24,108.6,106.9
2020-01-25,108.9,107.2
2020-01-26,109.3,107.5
2020-01-27,109.6,107.8
2020-01-28,110.0,108.1
2020-01-29,110.3,108.4
2020-01-30,110.7,108.7
2020-01-31,111.0,109.0
2020-02-01,111.4,109.3
2020-02-02,111.7,109.6
2020-02-03,112.1,109.9
2020-02-04,112.4,110.2
2020-02-05,112.8,110.5
2020-02-06,113.1,110.8
2020-02-07,113.5,111.1
2020-02-08,113.8,111.4
2020-02-09,114.2,111.7
2020-02-10,114.5,112.0
2020-02-11,114.9,112.3
2020-02-12,115.2,112.6
2020-02-13,115.6,112.9
2020-02-14,115.9,113.2
2020-02-15,116.3,113.5
2020-02-16,116.6,113.8
2020-02-17,117.0,114.1
2020-02-18,117.3,114.4
2020-02-19,117.7,114.7
2020-02-20,118.0,115.0
2020-02-21,118.4,115.3
2020-02-22,118.7,115.6
2020-02-23,119.1,115.9
2020-02-24,119.4,116.2
2020-02-25,119.8,116.5
2020-02-26,120.1,116.8
2020-02-27,120.5,117.1
2020-02-28,120.8,117.4
2020-02-29,121.2,117.7
2020-03-01,121.5,118.0
2020-03-02,121.9,118.3
2020-03-03,122.2,118.6
2020-03-04,122.6,118.9
2020-03-05,122.9,119.2
2020-03-06,123.3,119.5
2020-03-07,123.6,119.8
2020-03-08,124.0,120.1
2020-03-09,124.3,120.4
2020-03-10,124.7,120.7
2020-03-11,125.0,121.0
2020-03-12,125.4,121.3
2020-03-13,125.7,121.6
2020-03-14,126.1,121.9
2020-03-15,126.4,122.2
2020-03-16,126.8,122.5
2020-03-17,127.1,122.8
2020-03-18,127.5,123.1
2020-03-19,127.8,123.4
2020-03-20,128.2,123.7
2020-03-21,128.5,124.0
2020-03-22,128.9,124.3
2020-03-23,129.2,124.6
2020-03-24,129.6,124.9
2020-03-25,129.9,125.2
2020-03-26,130.3,125.5
2020-03-27,130.6,125.8
2020-03-28,131.0,126.1
2020-03-29,131.3,126.4
2020-03-30,131.7,126.7
2020-03-31,132.0,127.0
2020-04-01,132.4,127.3
2020-04-02,132.7,127.6
2020-04-03,133.1,127.9
2020-04-04,133.4,128.2
2020-04-05,133.8,128.5
