,GDP_per_capita
1820,1257.0
1821,1280.76
1822,1304.52
1823,1328.28
1824,1352.04
1825,1375.8
1826,1399.56
1827,1423.32
1828,1447.08
1829,1470.84
1830,1494.6
1831,1518.3600000000001
1832,1542.1200000000001
1833,1565.88
1834,1589.64
1835,1613.4
1836,1637.16
1837,1660.92
1838,1684.68
1839,1708.44
1840,1732.2
1841,1755.96
1842,1779.72
1843,1803.48
1844,1827.24
1845,1851.0
1846,1874.76
1847,1898.52
1848,1922.28
1849,1946.04
1850,1969.8
1851,1993.56
1852,2017.3200000000002
1853,2041.0800000000002
1854,2064.84
1855,2088.6
1856,2112.36
1857,2136.12
1858,2159.88
1859,2183.64
1860,2207.4
1861,2231.16
1862,2254.92
1863,2278.6800000000003
1864,2302.44
1865,2326.2000000000003
1866,2349.96
1867,2373.7200000000003
1868,2397.48
1869,2421.2400000000002
1870,2445.0
1871,2511.4186046511627
1872,2577.8372093023254
1873,2644.2558139534885
1874,2710.6744186046512
1875,2777.093023255814
1876,2843.5116279069766
1877,2909.93023255814
1878,2976.3488372093025
1879,3042.767441860465
1880,3109.186046511628
1881,3175.6046511627906
1882,3242.0232558139537
1883,3308.4418604651164
1884,3374.860465116279
1885,3441.279069767442
1886,3507.697674418605
1887,3574.1162790697676
1888,3640.5348837209303
1889,3706.953488372093
1890,3773.3720930232557
1891,3839.790697674419
1892,3906.2093023255816
1893,3972.6279069767443
1894,4039.046511627907
1895,4105.46511627907
1896,4171.883720930233
1897,4238.302325581395
1898,4304.720930232558
1899,4371.139534883721
1900,4437.558139534884
1901,4503.976744186047
1902,4570.39534883721
1903,4636.813953488372
1904,4703.232558139535
1905,4769.6511627906975
1906,4836.069767441861
1907,4902.488372093024
1908,4968.906976744186
1909,5035.325581395349
1910,5101.7441860465115
1911,5168.162790697675
1912,5234.581395348838
1913,5301.0
1914,5416.135135135135
1915,5531.27027027027
1916,5646.405405405405
1917,5761.540540540541
1918,5876.675675675676
1919,5991.810810810811
1920,6106.945945945946
1921,6222.081081081081
1922,6337.216216216216
1923,6452.351351351352
1924,6567.486486486487
1925,6682.621621621622
1926,6797.756756756757
1927,6912.891891891892
1928,7028.027027027027
1929,7143.162162162162
1930,7258.2972972972975
1931,7373.4324324324325
1932,7488.5675675675675
1933,7603.7027027027025
1934,7718.8378378378375
1935,7833.9729729729725
1936,7949.108108108108
1937,8064.243243243243
1938,8179.378378378378
1939,8294.513513513513
1940,8409.648648648648
1941,8524.783783783783
1942,8639.918918918918
1943,8755.054054054053
1944,8870.189189189188
1945,8985.324324324323
1946,9100.45945945946
1947,9215.594594594595
1948,9330.72972972973
1949,9445.864864864865
1950,9561.0
1951,9870.91304347826
1952,10180.826086956522
1953,10490.739130434782
1954,10800.652173913044
1955,11110.565217391304
1956,11420.478260869566
1957,11730.391304347826
1958,12040.304347826088
1959,12350.217391304348
1960,12660.130434782608
1961,12970.04347826087
1962,13279.95652173913
1963,13589.869565217392
1964,13899.782608695652
1965,14209.695652173914
1966,14519.608695652174
1967,14829.521739130434
1968,15139.434782608696
1969,15449.347826086956
1970,15759.260869565218
1971,16069.173913043478
1972,16379.08695652174
1973,16689.0
1974,17072.823529411766
1975,17456.647058823528
1976,17840.470588235294
1977,18224.29411764706
1978,18608.117647058825
1979,18991.941176470587
1980,19375.764705882353
1981,19759.58823529412
1982,20143.41176470588
1983,20527.235294117647
1984,20911.058823529413
1985,21294.882352941175
1986,21678.70588235294
1987,22062.529411764706
1988,22446.352941176472
1989,22830.176470588234
1990,23214.0
1991,23728.625
1992,24243.25
1993,24757.875
1994,25272.5
1995,25787.125
1996,26301.75
1997,26816.375
1998,27331.0
