Year,Life_Expectancy
1850,38.3
1851,38.65
1852,39.0
1853,39.349999999999994
1854,39.699999999999996
1855,40.05
1856,40.4
1857,40.75
1858,41.099999999999994
1859,41.449999999999996
1860,41.8
1861,42.019999999999996
1862,42.239999999999995
1863,42.46
1864,42.68
1865,42.9
1866,43.12
1867,43.339999999999996
1868,43.56
1869,43.78
1870,44.0
1871,43.54
1872,43.08
1873,42.62
1874,42.16
1875,41.7
1876,41.24
1877,40.78
1878,40.32
1879,39.86
1880,39.4
1881,39.98
1882,40.56
1883,41.14
1884,41.72
1885,42.3
1886,42.88
1887,43.46
1888,44.04
1889,44.620000000000005
1890,45.2
1891,45.46
1892,45.72
1893,45.980000000000004
1894,46.24
1895,46.5
1896,46.76
1897,47.019999999999996
1898,47.28
1899,47.54
1900,47.8
1901,48.33
1902,48.86
1903,49.39
1904,49.92
1905,50.45
1906,50.98
1907,51.51
1908,52.04
1909,52.57
1910,53.1
1911,53.2
1912,53.300000000000004
1913,53.4
1914,53.5
1915,53.6
1916,53.7
1917,53.800000000000004
1918,53.9
1919,54.0
1920,54.1
1921,54.660000000000004
1922,55.22
1923,55.78
1924,56.34
1925,56.900000000000006
1926,57.46
1927,58.02
1928,58.580000000000005
1929,59.14
1930,59.7
1931,60.02
1932,60.34
1933,60.660000000000004
1934,60.980000000000004
1935,61.3
1936,61.62
1937,61.94
1938,62.26
1939,62.58
1940,62.9
1941,63.43
1942,63.96
1943,64.49
1944,65.02
1945,65.55
1946,66.08
1947,66.61
1948,67.14
1949,67.67
1950,68.2
1951,68.35000000000001
1952,68.5
1953,68.65
1954,68.8
1955,68.95
1956,69.10000000000001
1957,69.25
1958,69.4
1959,69.55
1960,69.7
1961,69.81
1962,69.92
1963,70.03
1964,70.14
1965,70.25
1966,70.36
1967,70.47
1968,70.58
1969,70.69
1970,70.8
1971,71.09
1972,71.38
1973,71.67
1974,71.96
1975,72.25
1976,72.54
1977,72.83
1978,73.12
1979,73.41
1980,73.7
1981,73.87
1982,74.04
1983,74.21000000000001
1984,74.38000000000001
1985,74.55000000000001
1986,74.72
1987,74.89
1988,75.06
1989,75.23
1990,75.4
1991,75.5625
1992,75.72500000000001
1993,75.8875
1994,76.05000000000001
1995,76.2125
1996,76.375
1997,76.53750000000001
1998,76.7
