date,value
2001-01-01,31001.28
2001-02-01,25626.521
2001-03-01,27580.339
2001-04-01,27486.315
2001-05-01,31583.459
2001-06-01,34619.506
2001-07-01,39939.836
2001-08-01,39376.594
2001-09-01,32471.977
2001-10-01,28083.635
2001-11-01,26453.126
2001-12-01,28357.417
2002-01-01,30513.579
2002-02-01,27337.377
2002-03-01,28874.781
2002-04-01,28939.85
2002-05-01,32512.588
2002-06-01,36267.581
2002-07-01,39583.368
2002-08-01,40740.094
2002-09-01,34663.797
2002-10-01,29398.621
2002-11-01,27143.326
2002-12-01,29653.578
2003-01-01,31481.066
2003-02-01,27728.85
2003-03-01,27561.026
2003-04-01,27798.918
2003-05-01,33088.612
2003-06-01,34534.461
2003-07-01,37686.562
2003-08-01,39825.981
2003-09-01,32709.962
2003-10-01,29649.701
2003-11-01,28094.336
2003-12-01,29040.209
2004-01-01,30156.78023
2004-02-01,28775.70301
2004-03-01,28321.40846
2004-04-01,27791.93135
2004-05-01,33666.06637
2004-06-01,35388.92106
2004-07-01,39027.77825
2004-08-01,38636.04256
2004-09-01,35314.81494
2004-10-01,32782.26394
2004-11-01,28436.40476
2004-12-01,32001.01737
2005-01-01,31494.10371
2005-02-01,27232.63973
2005-03-01,28585.76256
2005-04-01,27803.14446
2005-05-01,33121.91804
2005-06-01,38446.04192
2005-07-01,40485.60544
2005-08-01,41581.3042
2005-09-01,36934.56434
2005-10-01,30402.2021
2005-11-01,29013.50807
2005-12-01,31567.92758
2006-01-01,28825.33201
2006-02-01,27127.07133
2006-03-01,28999.05272
2006-04-01,30638.24506
2006-05-01,35367.14982
2006-06-01,38186.7536
2006-07-01,41653.66098
2006-08-01,43636.88702
2006-09-01,35107.09138
2006-10-01,31568.26868
2006-11-01,28391.48381
2006-12-01,31081.88133
2007-01-01,34731.42637
2007-02-01,28768.17894
2007-03-01,29110.2754
2007-04-01,28753.91503
2007-05-01,32946.19128
2007-06-01,36563.9645
2007-07-01,38824.08254
2007-08-01,42760.1797
2007-09-01,36866.0032
2007-10-01,33750.99375
2007-11-01,30256.46821
2007-12-01,32160.61664
2008-01-01,33892.89261
2008-02-01,29521.60494
2008-03-01,30820.90211
2008-04-01,30029.21466
