,year,composite,negative,positive
0,1850,0.99986,0.05675,0.10055
1,1851,0.999875,0.057550000000000004,0.10675000000000001
2,1852,0.8014300000000001,0.0621,0.10264999999999999
3,1853,0.9005150000000001,0.05205,0.09625
4,1854,0.99907,0.052149999999999995,0.1058
5,1855,0.899835,0.0639,0.09635
6,1856,0.99903,0.057699999999999994,0.09380000000000001
7,1857,0.9996449999999999,0.05789999999999999,0.09655
8,1858,0.898115,0.0523,0.07880000000000001
9,1859,0.8038449999999999,0.0538,0.10200000000000001
10,1860,0.8836,0.052700000000000004,0.0818
11,1861,0.9993449999999999,0.06595,0.1
12,1862,0.5906,0.0717,0.09485
13,1863,0.39739,0.07015,0.08205
14,1864,0.9003249999999999,0.07025,0.10175000000000001
15,1865,0.8795949999999999,0.07045,0.09125
16,1866,0.9995050000000001,0.05685,0.0979
17,1867,0.901915,0.058399999999999994,0.09585
18,1868,0.6999500000000001,0.05525,0.0889
19,1869,0.9990500000000001,0.06425,0.10540000000000001
20,1870,0.8996999999999999,0.0633,0.0985
21,1871,0.9002950000000001,0.0624,0.10269999999999999
22,1872,0.90715,0.05525,0.10210000000000001
23,1873,0.9002800000000001,0.06570000000000001,0.10389999999999999
24,1874,0.7968550000000001,0.0648,0.09885000000000001
25,1875,0.701285,0.0634,0.09585
26,1876,0.899385,0.06265,0.10725
27,1877,0.69783,0.065,0.09265
28,1878,0.707595,0.06365,0.09745000000000001
29,1879,0.70572,0.06445,0.0917
30,1880,0.8998649999999999,0.058699999999999995,0.10170000000000001
31,1881,0.9953649999999999,0.055900000000000005,0.09430000000000001
32,1882,0.6065,0.0616,0.08465
33,1883,0.882475,0.05500000000000001,0.0841
34,1884,0.900695,0.06155000000000001,0.10029999999999999
35,1885,0.699395,0.0666,0.09615
36,1886,0.79903,0.05655,0.09369999999999999
37,1887,0.798715,0.0646,0.10190000000000002
38,1888,0.8997999999999999,0.05825,0.1062
39,1889,0.49993999999999994,0.0596,0.09635
40,1890,0.795805,0.06584999999999999,0.1123
41,1891,0.39974,0.06865,0.0867
42,1892,0.40051500000000007,0.0659,0.08995
43,1893,0.7960499999999999,0.0634,0.09865
44,1894,0.78788,0.0602,0.10155
45,1895,0.999085,0.0578,0.10305
46,1896,0.89923,0.07055,0.10389999999999999
47,1897,0.702345,0.06475,0.10189999999999999
48,1898,0.79866,0.0541,0.09809999999999999
49,1899,0.71602,0.0683,0.11034999999999999
50,1900,0.8977299999999999,0.06985,0.1056
51,1901,0.79957,0.0608,0.10064999999999999
52,1902,0.699655,0.0601,0.0954
53,1903,0.999625,0.05515,0.0968
54,1904,0.901035,0.0508,0.0983
55,1905,0.678915,0.0593,0.0999
56,1906,0.8988099999999999,0.0528,0.10030000000000001
57,1907,0.65039,0.05994999999999999,0.09705
58,1908,0.930235,0.06165,0.10595000000000002
59,1909,0.798905,0.06215,0.10700000000000001
60,1910,0.9952249999999999,0.050850000000000006,0.10665
61,1911,0.898625,0.054700000000000006,0.09835
62,1912,0.8993500000000001,0.05505,0.10825
63,1913,0.813425,0.058399999999999994,0.11174999999999999
64,1914,0.887575,0.0551,0.11625
65,1915,0.898855,0.05745,0.1206
66,1916,0.7994950000000001,0.06275,0.10594999999999999
67,1917,0.8029350000000001,0.06325,0.1295
68,1918,0.601845,0.07089999999999999,0.1125
69,1919,0.7960050000000001,0.06215,0.1035
70,1920,0.998625,0.05815,0.11705000000000002
71,1921,0.9992300000000001,0.05295,0.1136
72,1922,0.899635,0.0536,0.1139
73,1923,0.703475,0.0626,0.10429999999999999
74,1924,0.9974700000000001,0.058399999999999994,0.10615000000000001
75,1925,0.60694,0.0621,0.09895000000000001
76,1926,0.603395,0.06325,0.10225
77,1927,0.8959300000000001,0.06434999999999999,0.10969999999999999
