,year,composite,negative,positive
0,1900,0.8994949999999999,0.05725,0.0978
1,1901,0.99956,0.0486,0.09915
2,1902,0.998265,0.0492,0.09625
3,1903,0.90069,0.0586,0.10189999999999999
4,1904,0.9005599999999999,0.0524,0.0972
5,1905,0.9992850000000001,0.04485,0.1086
6,1906,0.8995850000000001,0.04065,0.10300000000000001
7,1907,0.8858900000000001,0.050949999999999995,0.09955
8,1908,0.89931,0.0509,0.09735
9,1909,0.8978999999999999,0.06224999999999999,0.10625
10,1910,0.898165,0.05845,0.09605
11,1911,0.899385,0.0439,0.10775000000000001
12,1912,0.716785,0.04955,0.0983
13,1913,0.896875,0.04835,0.0908
14,1914,0.979095,0.052849999999999994,0.10375000000000001
15,1915,0.898475,0.050249999999999996,0.09395
16,1916,0.8022449999999999,0.06115,0.10070000000000001
17,1917,0.986565,0.0438,0.1115
