,year,composite,negative,positive
0,1918,0.504325,0.057800000000000004,0.09935000000000001
1,1919,0.95433,0.0521,0.0964
2,1920,0.997475,0.04665,0.10955
3,1921,0.8939450000000001,0.0451,0.0957
4,1922,0.8962199999999999,0.04865,0.0869
5,1923,0.901275,0.050949999999999995,0.10600000000000001
6,1924,0.81524,0.048299999999999996,0.08945
7,1925,0.705315,0.0576,0.10405
8,1926,0.89869,0.041150000000000006,0.1119
9,1927,0.9987999999999999,0.03665,0.0983
10,1928,0.9989649999999999,0.0428,0.1004
11,1929,0.898795,0.04825,0.1125
12,1930,0.8981049999999999,0.04965,0.10264999999999999
13,1931,0.9979950000000001,0.0484,0.09195
14,1932,0.786065,0.051500000000000004,0.09425
15,1933,0.7174400000000001,0.060750000000000005,0.0848
16,1934,0.897705,0.0576,0.1002
17,1935,0.86603,0.0601,0.10155
18,1936,0.720015,0.054849999999999996,0.11080000000000001
19,1937,0.889225,0.04475,0.1
20,1938,0.69828,0.0611,0.1004
21,1939,0.997295,0.0529,0.10015
22,1940,0.50525,0.062049999999999994,0.08615
23,1941,0.900055,0.0526,0.09195
24,1942,0.8889950000000001,0.0513,0.09280000000000001
25,1943,0.49941500000000005,0.07345,0.09375
26,1944,0.5143500000000001,0.064,0.1048
27,1945,0.400495,0.0752,0.08945
28,1946,0.69906,0.06244999999999999,0.09065
29,1947,0.89863,0.05084999999999999,0.09809999999999999
30,1948,0.69777,0.05015000000000001,0.09735
31,1949,0.995885,0.0442,0.0927
32,1950,0.888325,0.04465,0.077
33,1951,0.79507,0.05645,0.1075
34,1952,0.9914799999999999,0.05689999999999999,0.11365
35,1953,0.8885,0.046849999999999996,0.10195000000000001
36,1954,0.89355,0.04465,0.10495000000000002
37,1955,0.597575,0.0521,0.09745
38,1956,0.79509,0.04965,0.10245
39,1957,0.918445,0.038400000000000004,0.0889
40,1958,0.742185,0.048,0.09369999999999999
41,1959,0.701615,0.040799999999999996,0.11265
42,1960,0.8969100000000001,0.04825,0.0972
43,1961,0.521865,0.05555,0.08135
44,1962,0.991905,0.04945,0.10500000000000001
