,year,composite,negative,positive
0,1927,0.8959300000000001,0.06434999999999999,0.10969999999999999
1,1928,0.796495,0.06765,0.0984
2,1929,0.7867550000000001,0.06684999999999999,0.11225
3,1930,0.29977,0.07515000000000001,0.09519999999999999
4,1931,0.600265,0.07245,0.10600000000000001
5,1932,0.70177,0.06415,0.0992
6,1933,0.663915,0.06815,0.09509999999999999
7,1934,0.49966499999999997,0.07139999999999999,0.0999
8,1935,0.598535,0.0814,0.10845
9,1936,0.699855,0.06815,0.1072
10,1937,0.7996000000000001,0.06620000000000001,0.1072
11,1938,0.788625,0.06745,0.09575
12,1939,0.7686200000000001,0.0693,0.10725
13,1940,0.49949000000000005,0.07055,0.0964
14,1941,0.501185,0.0731,0.10525
15,1942,0.8033899999999999,0.0693,0.10785
16,1943,0.41203,0.08130000000000001,0.11374999999999999
17,1944,0.591645,0.07125000000000001,0.09645000000000001
18,1945,0.20102000000000003,0.07765,0.0997
19,1946,0.71478,0.06935,0.1011
20,1947,0.90181,0.0489,0.1014
21,1948,0.997615,0.04955,0.09845000000000001
22,1949,0.647365,0.0625,0.09635
23,1950,0.59799,0.061399999999999996,0.09709999999999999
24,1951,0.79754,0.07644999999999999,0.12795
25,1952,0.7980400000000001,0.06315,0.10029999999999999
26,1953,0.9920500000000001,0.052500000000000005,0.10289999999999999
27,1954,0.8925150000000001,0.055349999999999996,0.11645000000000001
28,1955,0.799655,0.0521,0.0978
29,1956,0.99423,0.053849999999999995,0.1117
30,1957,0.8293200000000001,0.0509,0.10305
31,1958,0.996545,0.0487,0.10634999999999999
32,1959,0.89743,0.05895,0.10315
33,1960,0.7991699999999999,0.05305,0.0928
34,1961,0.59718,0.05895,0.10315
35,1962,0.80856,0.054400000000000004,0.1004
36,1963,0.9983150000000001,0.0427,0.09635
