,year,composite,negative,positive
0,1851,0.8001900000000001,0.0386,0.0784
1,1852,0.79965,0.05695,0.1005
2,1853,0.9998049999999999,0.04785,0.10505
3,1854,0.9106949999999999,0.0441,0.0912
4,1855,0.999125,0.046049999999999994,0.07735
5,1856,0.99964,0.0429,0.09115
6,1857,0.89925,0.04955,0.08249999999999999
7,1858,0.9983299999999999,0.04525,0.07625
8,1859,0.8993550000000001,0.04455,0.08555
9,1860,0.9994500000000001,0.04755,0.07925
10,1861,0.986035,0.05255,0.0859
11,1862,0.700445,0.05935,0.0869
12,1863,0.79479,0.05615,0.08645
13,1864,0.8922700000000001,0.055900000000000005,0.094
14,1865,0.887685,0.05845,0.09095
15,1866,0.919875,0.0493,0.08585000000000001
16,1867,0.897765,0.04915,0.08315
17,1868,0.89975,0.049,0.08515
18,1869,0.8999750000000001,0.0431,0.09519999999999999
19,1870,0.979035,0.04865,0.09240000000000001
20,1871,0.999335,0.0528,0.09185
21,1872,0.90008,0.0524,0.08835
22,1873,0.600535,0.060050000000000006,0.10455
23,1874,0.8996550000000001,0.05325,0.1032
24,1875,0.9993700000000001,0.04995,0.09115
25,1876,0.999615,0.04095,0.10574999999999998
26,1877,0.6996450000000001,0.05275,0.0834
27,1878,0.89765,0.04935,0.08625000000000001
28,1879,0.600445,0.062,0.08635000000000001
29,1880,0.79746,0.05325,0.09485
30,1881,0.89984,0.04525,0.1016
31,1882,0.997695,0.039,0.0965
32,1883,0.80105,0.03715,0.0983
33,1884,0.900235,0.051500000000000004,0.099
34,1885,0.7995950000000001,0.06275,0.10169999999999998
35,1886,0.60213,0.0611,0.0857
36,1887,0.898405,0.05095000000000001,0.09465
37,1888,0.89704,0.0453,0.08475
38,1889,0.800815,0.05495,0.0948
39,1890,0.7025300000000001,0.0509,0.09535
40,1891,0.8000299999999999,0.059050000000000005,0.1169
41,1892,0.99405,0.05589999999999999,0.10575000000000001
42,1893,0.9937950000000001,0.04685,0.09185
43,1894,0.58424,0.061750000000000006,0.08235
44,1895,0.9983600000000001,0.03635,0.08775
45,1896,0.699495,0.06545,0.10375000000000001
46,1897,0.8975350000000001,0.0546,0.09775
47,1898,0.9989650000000001,0.045700000000000005,0.09319999999999999
48,1899,0.99423,0.0493,0.09485
49,1900,0.80059,0.0641,0.10229999999999999
50,1901,0.899525,0.04985,0.09645000000000001
51,1902,0.9978149999999999,0.05475,0.1075
52,1903,0.89894,0.06295,0.1065
53,1904,0.7991750000000001,0.0595,0.09805
54,1905,0.898315,0.05355,0.10024999999999999
55,1906,0.8115600000000001,0.047400000000000005,0.09065
56,1907,0.5326500000000001,0.05825,0.08209999999999999
57,1908,0.998905,0.05345,0.0977
58,1909,0.70074,0.062349999999999996,0.10275000000000001
59,1910,0.997005,0.0507,0.09865
60,1911,0.9023,0.051949999999999996,0.1069
61,1912,0.998245,0.040799999999999996,0.09555
62,1913,0.50985,0.0523,0.08295
63,1914,0.89014,0.0615,0.0925
64,1915,0.4992,0.0663,0.08990000000000001
65,1916,0.79972,0.05295,0.10124999999999999
66,1917,0.899705,0.0477,0.10124999999999999
67,1918,0.899405,0.0638,0.1283
