,year,composite,negative,positive
0,1927,0.70926,0.061950000000000005,0.10415
1,1928,0.77652,0.0633,0.09855
2,1929,0.589755,0.0644,0.0965
3,1930,0.678005,0.07545,0.10300000000000001
4,1931,0.49056,0.07594999999999999,0.0995
5,1932,0.19558,0.08105,0.0913
6,1933,0.39454500000000003,0.0772,0.0969
7,1934,0.57901,0.06965,0.09065
8,1935,0.6997,0.068,0.1062
9,1936,0.998905,0.06065,0.11255
10,1937,0.994745,0.06555,0.11025
11,1938,0.686475,0.06375,0.1046
12,1939,0.690445,0.05865,0.10674999999999998
13,1940,0.7001350000000001,0.0648,0.0992
14,1941,0.889375,0.06315,0.1049
15,1942,0.984675,0.0665,0.11610000000000001
16,1943,0.70345,0.078,0.0982
17,1944,0.7048,0.060399999999999995,0.1146
18,1945,0.29444,0.0806,0.09475
19,1946,0.8058099999999999,0.0602,0.1197
20,1947,0.998905,0.052700000000000004,0.11439999999999999
21,1948,0.8985350000000001,0.05245,0.1028
22,1949,0.68765,0.053000000000000005,0.10045
23,1950,0.7904500000000001,0.05255,0.08905
24,1951,0.997035,0.07205,0.1358
25,1952,0.87486,0.0611,0.09190000000000001
26,1953,0.9824300000000001,0.0457,0.10629999999999999
27,1954,0.7982549999999999,0.05495,0.10794999999999999
28,1955,0.703325,0.05619999999999999,0.10105
29,1956,0.9983150000000001,0.05345,0.10285
30,1957,0.8985100000000001,0.0534,0.10195000000000001
31,1958,0.99757,0.05515,0.10905000000000001
32,1959,0.91349,0.0541,0.10535000000000001
33,1960,0.64761,0.05715,0.0843
34,1961,0.8982300000000001,0.0529,0.0983
35,1962,0.99814,0.051149999999999994,0.10275000000000001
36,1963,0.51315,0.0635,0.10980000000000001
