,Unnamed: 0,year,negative,positive,Topic,decade,num_conflicts,avg_hostility,total_fatalities,life_expectancy,democracy_frequency,economy_frequency,equality_frequency,freedom_frequency,justice_frequency,liberty_frequency,num_conflicts_lag1,avg_hostility_lag1,total_fatalities_lag1,num_conflicts_lag5,avg_hostility_lag5,total_fatalities_lag5,num_conflicts_lag10,avg_hostility_lag10,total_fatalities_lag10,log_gdp_percap,log_sentiment
1051,1235,1850-01-01,0.0,0.0,democracy_frequency,1850,2.0,2.5,0.0,38.3,0.0648404914323371,0.0611858451402079,0.4433040436270707,0.5912347905274545,1.0,0.996899222499087,2.0,2.5,0.0,2.0,2.5,0.0,2.0,2.5,0.0,7.586194830669808,6.174733214544906e-06
604,634,1850-01-01,0.0,0.0,Life_expectancy,1850,2.0,2.5,0.0,38.3,0.0648404914323371,0.0611858451402079,0.4433040436270707,0.5912347905274545,1.0,0.996899222499087,2.0,2.5,0.0,2.0,2.5,0.0,2.0,2.5,0.0,7.586194830669808,3.6712245188752153
1201,1437,1851-01-01,0.0,0.0,freedom_frequency,1850,0.0,0.0,0.0,38.65,0.0708029679240422,0.0601034644320602,0.4682668534672294,0.6130803002779479,0.9899180330475956,1.0,2.0,2.5,0.0,2.0,2.5,0.0,2.0,2.5,0.0,7.598178753620486,5.409964754341143e-05
1499,1839,1851-01-01,0.0,0.0,liberty_frequency,1850,0.0,0.0,0.0,38.65,0.0708029679240422,0.0601034644320602,0.4682668534672294,0.6130803002779479,0.9899180330475956,1.0,0.0,0.0,0.0,2.0,2.5,0.0,2.0,2.5,0.0,7.598178753620486,9.743686254087928e-05
151,151,1851-01-01,0.05335,0.1022,Freedom,1850,0.0,0.0,0.0,38.65,0.0708029679240422,0.0601034644320602,0.4682668534672294,0.6130803002779479,0.9899180330475956,1.0,0.0,0.0,0.0,2.0,2.5,0.0,2.0,2.5,0.0,7.598178753620486,0.6062021650047105
1052,1236,1851-01-01,0.0,0.0,democracy_frequency,1850,0.0,0.0,0.0,38.65,0.0708029679240422,0.0601034644320602,0.4682668534672294,0.6130803002779479,0.9899180330475956,1.0,0.0,0.0,0.0,2.0,2.5,0.0,2.0,2.5,0.0,7.598178753620486,6.383038350456744e-06
265,265,1851-01-01,0.0472,0.0877,Liberty,1850,0.0,0.0,0.0,38.65,0.0708029679240422,0.0601034644320602,0.4682668534672294,0.6130803002779479,0.9899180330475956,1.0,0.0,0.0,0.0,2.0,2.5,0.0,2.0,2.5,0.0,7.598178753620486,0.6419038849224364
342,342,1851-01-01,0.05755,0.10675,Democracy,1850,0.0,0.0,0.0,38.65,0.0708029679240422,0.0601034644320602,0.4682668534672294,0.6130803002779479,0.9899180330475956,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,0.0,7.598178753620486,0.6930846786067388
1350,1638,1851-01-01,0.0,0.0,justice_frequency,1850,0.0,0.0,0.0,38.65,0.0708029679240422,0.0601034644320602,0.4682668534672294,0.6130803002779479,0.9899180330475956,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,0.0,7.598178753620486,0.0001240194656222
64,64,1851-01-01,0.0486,0.10575,Economy,1850,0.0,0.0,0.0,38.65,0.0708029679240422,0.0601034644320602,0.4682668534672294,0.6130803002779479,0.9899180330475956,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,0.0,7.598178753620486,0.6931021795474149
