SCED Time Stamp,Repeated Hour Flag,SUM TELEM DSR LOAD,SUM TELEM DSR GEN
12/27/2024 00:00:14,N,172,0
12/27/2024 00:15:11,N,171.3,0
12/27/2024 00:30:11,N,167.7,0
12/27/2024 00:45:11,N,166.5,0
12/27/2024 01:00:14,N,165.5,0
12/27/2024 01:15:11,N,164.9,0
12/27/2024 01:30:12,N,163.3,0
12/27/2024 01:45:12,N,161.9,0
12/27/2024 02:00:15,N,161.2,0
12/27/2024 02:15:11,N,160.9,0
12/27/2024 02:30:10,N,160.5,0
12/27/2024 02:45:11,N,159.2,0
12/27/2024 03:00:12,N,160.2,0
12/27/2024 03:15:11,N,160.9,0
12/27/2024 03:30:11,N,161,0
12/27/2024 03:45:11,N,162.1,0
12/27/2024 04:00:12,N,162.8,0
12/27/2024 04:15:10,N,163.4,0
12/27/2024 04:30:11,N,165.9,0
12/27/2024 04:45:11,N,167.4,0
12/27/2024 05:00:13,N,169.5,0
12/27/2024 05:15:10,N,172.8,0
12/27/2024 05:30:10,N,176,0
12/27/2024 05:45:10,N,177.3,0
12/27/2024 06:00:12,N,180.5,0
12/27/2024 06:15:09,N,183.2,0
12/27/2024 06:30:11,N,185.9,0
12/27/2024 06:45:09,N,186.7,0
12/27/2024 07:00:11,N,187,0
12/27/2024 07:15:09,N,191.5,0
12/27/2024 07:30:11,N,191.8,0
12/27/2024 07:45:11,N,193.1,0
12/27/2024 08:00:11,N,197.5,0
12/27/2024 08:15:11,N,200.3,0
12/27/2024 08:30:11,N,200,0
12/27/2024 08:45:09,N,203.3,0
12/27/2024 09:00:12,N,201.6,0
12/27/2024 09:15:09,N,204,0
12/27/2024 09:30:11,N,203.3,0
12/27/2024 09:45:10,N,204.8,0
12/27/2024 10:00:12,N,200.6,0
12/27/2024 10:15:12,N,199.5,0
12/27/2024 10:30:10,N,198.2,0
12/27/2024 10:45:10,N,197.2,0
12/27/2024 11:00:11,N,195.4,0
12/27/2024 11:15:11,N,194.1,0
12/27/2024 11:30:11,N,195.4,0
12/27/2024 11:45:12,N,192,0
12/27/2024 12:00:11,N,189.7,0
12/27/2024 12:15:10,N,188.8,0
12/27/2024 12:30:11,N,188.9,0
12/27/2024 12:45:11,N,187.2,0
12/27/2024 13:00:12,N,185.8,0
12/27/2024 13:15:09,N,185.2,0
12/27/2024 13:30:10,N,185.4,0
12/27/2024 13:45:09,N,184.6,0
12/27/2024 14:00:11,N,185.7,0
12/27/2024 14:15:09,N,184.9,0
12/27/2024 14:30:09,N,184.5,0
12/27/2024 14:45:09,N,184.7,0
12/27/2024 15:00:11,N,185.8,0
12/27/2024 15:15:10,N,184.5,0
12/27/2024 15:30:10,N,186.8,0
12/27/2024 15:45:10,N,182.8,0
12/27/2024 16:00:11,N,184.5,0
12/27/2024 16:15:09,N,183.9,0
12/27/2024 16:30:10,N,183.8,0
12/27/2024 16:45:10,N,187.7,0
12/27/2024 17:00:11,N,186.5,0
12/27/2024 17:15:09,N,187.2,0
12/27/2024 17:30:10,N,190.5,0
12/27/2024 17:45:09,N,195.9,0
12/27/2024 18:00:13,N,196.1,0
12/27/2024 18:15:09,N,194.6,0
12/27/2024 18:30:10,N,196.5,0
12/27/2024 18:45:09,N,195.5,0
12/27/2024 19:00:10,N,194.3,0
12/27/2024 19:15:09,N,194.5,0
12/27/2024 19:30:10,N,194,0
12/27/2024 19:45:09,N,194.7,0
12/27/2024 20:00:11,N,192,0
12/27/2024 20:15:10,N,191.6,0
12/27/2024 20:30:09,N,190.8,0
12/27/2024 20:45:09,N,189.7,0
12/27/2024 21:00:11,N,188.3,0
12/27/2024 21:15:09,N,186.5,0
12/27/2024 21:30:09,N,185.7,0
12/27/2024 21:45:09,N,185.2,0
12/27/2024 22:00:13,N,182.8,0
12/27/2024 22:15:10,N,181.4,0
12/27/2024 22:30:10,N,178.4,0
12/27/2024 22:45:09,N,177.1,0
12/27/2024 23:00:13,N,174.6,0
12/27/2024 23:15:10,N,172.2,0
12/27/2024 23:30:10,N,169.1,0
12/27/2024 23:45:10,N,165.5,0
