date,value
2025-01-07 00:00:14,334.5
2025-01-07 00:15:10,327.1
2025-01-07 00:30:11,324.2
2025-01-07 00:45:11,326.1
2025-01-07 01:00:19,327.2
2025-01-07 01:15:10,324.9
2025-01-07 01:30:11,326.5
2025-01-07 01:45:10,327.2
2025-01-07 02:00:16,331.6
2025-01-07 02:15:11,328.9
2025-01-07 02:30:11,326.6
2025-01-07 02:45:10,325.1
2025-01-07 03:00:12,325.0
2025-01-07 03:15:10,324.3
2025-01-07 03:30:11,326.1
2025-01-07 03:45:12,324.3
2025-01-07 04:00:13,325.9
2025-01-07 04:15:10,324.7
2025-01-07 04:30:12,326.7
2025-01-07 04:45:10,325.6
2025-01-07 05:00:13,328.6
2025-01-07 05:15:10,330.2
2025-01-07 05:30:10,329.8
2025-01-07 05:45:10,332.2
2025-01-07 06:00:11,334.8
2025-01-07 06:15:10,333.1
2025-01-07 06:30:10,340.2
2025-01-07 06:45:11,338.1
2025-01-07 07:00:12,339.6
2025-01-07 07:15:10,340.7
2025-01-07 07:30:11,337.0
2025-01-07 07:45:11,337.8
2025-01-07 08:00:17,328.2
2025-01-07 08:15:10,325.9
2025-01-07 08:30:11,333.6
2025-01-07 08:45:10,337.3
2025-01-07 09:00:12,342.2
2025-01-07 09:15:11,347.4
2025-01-07 09:30:11,351.9
2025-01-07 09:45:11,354.5
2025-01-07 10:00:12,355.8
2025-01-07 10:15:10,348.0
2025-01-07 10:30:11,348.2
2025-01-07 10:45:11,347.3
2025-01-07 11:00:12,345.4
2025-01-07 11:15:10,350.5
2025-01-07 11:30:10,332.6
2025-01-07 12:00:11,319.7
2025-01-07 12:15:09,316.4
2025-01-07 12:30:10,312.1
2025-01-07 12:45:09,308.9
2025-01-07 13:00:11,303.9
2025-01-07 13:15:09,300.1
2025-01-07 13:30:09,301.3
2025-01-07 13:45:10,301.5
2025-01-07 14:00:11,299.5
2025-01-07 14:15:09,294.3
2025-01-07 14:30:10,292.7
2025-01-07 14:45:11,289.4
2025-01-07 15:00:11,287.0
2025-01-07 15:15:09,285.1
2025-01-07 15:30:10,285.3
2025-01-07 15:45:09,288.1
2025-01-07 16:00:14,292.9
2025-01-07 16:15:09,288.4
2025-01-07 16:30:10,293.1
2025-01-07 16:45:09,294.9
2025-01-07 17:00:11,298.1
2025-01-07 17:15:10,301.1
2025-01-07 17:30:09,311.0
2025-01-07 17:45:08,317.3
2025-01-07 18:00:13,323.1
2025-01-07 18:15:09,328.0
2025-01-07 18:30:09,332.1
2025-01-07 18:45:09,333.1
2025-01-07 19:00:11,332.8
2025-01-07 19:15:09,332.7
2025-01-07 19:30:09,333.1
2025-01-07 19:45:09,334.0
2025-01-07 20:00:11,333.0
2025-01-07 20:15:10,333.9
2025-01-07 20:30:10,336.3
2025-01-07 20:45:09,332.9
2025-01-07 21:00:11,328.4
2025-01-07 21:15:09,328.3
2025-01-07 21:30:16,327.6
2025-01-07 21:45:10,325.3
2025-01-07 22:00:13,322.7
2025-01-07 22:15:09,318.9
2025-01-07 22:30:09,315.3
2025-01-07 22:45:09,312.5
2025-01-07 23:00:12,309.5
2025-01-07 23:15:09,308.6
2025-01-07 23:30:10,302.1
2025-01-07 23:45:09,302.0
2025-01-08 00:00:22,298.9
2025-01-08 00:15:10,298.1
2025-01-08 00:30:10,299.8
2025-01-08 00:45:12,296.9
2025-01-08 01:00:13,295.3
2025-01-08 01:15:10,295.0
2025-01-08 01:30:10,294.2
2025-01-08 01:45:09,293.0
2025-01-08 02:00:13,292.5
2025-01-08 02:15:12,292.9
2025-01-08 02:30:09,294.1
2025-01-08 02:45:09,294.0
2025-01-08 03:00:12,292.9
2025-01-08 03:15:11,294.3
2025-01-08 03:30:09,297.1
2025-01-08 03:45:11,298.3
2025-01-08 04:00:13,300.9
2025-01-08 04:15:11,301.5
2025-01-08 04:30:12,304.2
2025-01-08 04:45:10,308.3
2025-01-08 05:00:11,310.2
2025-01-08 05:15:10,316.6
2025-01-08 05:30:11,321.3
2025-01-08 05:45:10,325.1
2025-01-08 06:00:13,327.8
2025-01-08 06:15:10,336.8
2025-01-08 06:30:10,344.6
2025-01-08 06:45:10,348.6
2025-01-08 07:00:12,353.0
2025-01-08 07:15:10,357.6
2025-01-08 07:30:10,356.0
2025-01-08 07:45:11,353.2
2025-01-08 08:00:11,355.6
2025-01-08 08:15:11,354.6
2025-01-08 08:30:11,352.1
2025-01-08 08:45:10,349.7
2025-01-08 09:00:13,350.9
2025-01-08 09:15:10,349.7
2025-01-08 09:30:11,349.3
2025-01-08 09:45:11,350.9
2025-01-08 10:00:13,352.9
2025-01-08 10:15:10,349.9
2025-01-08 10:30:10,348.3
2025-01-08 10:45:11,345.3
2025-01-08 11:00:12,340.8
2025-01-08 11:15:11,339.9
2025-01-08 11:30:12,336.1
2025-01-08 11:45:10,329.3
2025-01-08 12:00:12,323.2
2025-01-08 12:15:10,316.7
2025-01-08 12:30:10,310.5
2025-01-08 12:45:10,308.6
2025-01-08 13:00:14,304.6
2025-01-08 13:15:11,301.4
2025-01-08 13:30:10,299.0
2025-01-08 13:45:10,294.9
2025-01-08 14:00:12,293.2
2025-01-08 14:15:10,288.3
2025-01-08 14:30:11,290.4
2025-01-08 14:45:11,289.0
2025-01-08 15:00:12,284.4
2025-01-08 15:15:10,282.5
2025-01-08 15:30:10,283.1
2025-01-08 15:45:10,278.4
2025-01-08 16:00:12,281.9
2025-01-08 16:15:10,285.1
2025-01-08 16:30:10,289.2
2025-01-08 16:45:10,289.2
2025-01-08 17:00:13,292.9
