,Date,Employment,Season,Period,Sector
0,2007-01-01,195600.0,Winter,Pre-Recession,Rail
1,2007-02-01,197300.0,Winter,Pre-Recession,Rail
2,2007-06-01,197700.0,Summer,Pre-Recession,Rail
3,2007-07-01,198300.0,Summer,Pre-Recession,Rail
4,2007-08-01,199200.0,Summer,Pre-Recession,Rail
5,2007-12-01,195100.0,Winter,Pre-Recession,Rail
6,2008-01-01,194200.0,Winter,Pre-Recession,Rail
7,2008-02-01,194300.0,Winter,Pre-Recession,Rail
8,2008-06-01,194700.0,Summer,Pre-Recession,Rail
9,2008-07-01,196500.0,Summer,Pre-Recession,Rail
10,2008-08-01,196400.0,Summer,Pre-Recession,Rail
11,2008-12-01,194100.0,Winter,Pre-Recession,Rail
12,2020-01-01,159200.0,Winter,Post-Recession,Rail
13,2020-02-01,158400.0,Winter,Post-Recession,Rail
14,2020-06-01,144900.0,Summer,Post-Recession,Rail
15,2020-07-01,146100.0,Summer,Post-Recession,Rail
16,2020-08-01,146900.0,Summer,Post-Recession,Rail
17,2020-12-01,148100.0,Winter,Post-Recession,Rail
18,2021-01-01,144700.0,Winter,Post-Recession,Rail
19,2021-02-01,145500.0,Winter,Post-Recession,Rail
20,2021-06-01,147400.0,Summer,Post-Recession,Rail
21,2021-07-01,147200.0,Summer,Post-Recession,Rail
22,2021-08-01,146000.0,Summer,Post-Recession,Rail
23,2021-12-01,145700.0,Winter,Post-Recession,Rail
